id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,resolution,DPI_W,call_ratio
27,956,1.0,143,511,1075,3286,17,8,12,No,4,hepta,low,Single,1.0,6.0,40.708984375,Touch,none,992.21,549325,335.9375,79.66666666666667
28,1453,0.3,96,187,1311,2373,10,1,10,No,4,dual,medium,Dual,12.0,18.0,51.240234375,Touch,n,926.26,245157,3277.5,145.3
29,851,0.4,200,1171,1263,478,12,7,10,No,3,penta,low,Single,3.0,7.0,21.0283203125,LCD,b,584.54,1478973,451.07142857142856,85.1
30,1579,0.2,88,1358,1739,3532,17,11,12,Yes,2,hepta,low,Dual,,9.0,5.078125,LCD,a,1272.59,2361562,395.22727272727275,131.58333333333334
31,1568,1.0,150,413,654,508,5,1,6,Yes,3,octa,low,Single,16.0,20.0,32.7998046875,Touch,a,665.32,270102,1635.0,261.3333333333333
32,1319,0.9,107,85,1152,2227,18,5,3,Yes,4,single,low,Single,3.0,18.0,40.7431640625,Touch,b,1053.05,97920,576.0,439.6666666666667
33,1310,0.6,100,178,1919,3845,7,0,12,Yes,4,quad,medium,Dual,,,50.7451171875,Touch,none,1029.02,341582,inf,109.16666666666667
34,644,0.7,157,311,881,1262,12,1,15,Yes,3,octa,high,Single,,3.0,22.1982421875,LCD,none,595.36,273991,2202.5,42.93333333333333
35,725,0.4,160,1134,1249,1326,10,4,15,No,3,octa,medium,Dual,16.0,17.0,59.0302734375,LCD,none,921.33,1416366,780.625,48.333333333333336
36,589,0.6,160,429,815,2113,13,7,2,Yes,3,quad,high,Dual,1.0,10.0,60.287109375,LCD,g,750.85,349635,291.07142857142856,294.5
37,1725,0.5,119,609,1307,3429,6,5,4,Yes,4,dual,medium,Dual,6.0,18.0,6.6337890625,Touch,none,1182.72,795963,653.5,431.25
38,790,0.3,87,347,730,3169,6,1,2,No,4,hexa,medium,Dual,16.0,17.0,11.630859375,LCD,n,1238.51,253310,1825.0,395.0
39,560,0.3,159,1448,1613,2150,18,12,11,No,3,dual,low,Dual,15.0,20.0,49.572265625,Touch,none,776.5,2335624,336.04166666666663,50.90909090909091
40,1347,0.6,132,434,967,2484,18,2,11,No,3,single,high,Single,5.0,14.0,43.5146484375,LCD,a,819.01,419678,1208.75,122.45454545454545
41,1646,0.2,185,1725,1932,3339,18,10,19,Yes,4,dual,high,Single,8.0,10.0,40.486328125,Touch,none,1042.93,3332700,483.0,86.63157894736842
42,1253,0.2,152,685,714,1878,15,0,4,Yes,4,dual,low,Dual,5.0,19.0,5.154296875,Touch,none,901.67,489090,inf,313.25
43,1656,0.1,166,880,1456,1629,15,12,14,No,4,triple,medium,Single,5.0,7.0,33.8154296875,Touch,none,763.26,1281280,303.3333333333333,118.28571428571429
44,1195,0.8,110,1580,1652,504,9,3,12,Yes,4,dual,high,Single,1.0,14.0,20.08984375,Touch,none,946.17,2610160,1376.6666666666665,99.58333333333333
45,1514,0.2,118,186,1810,1152,8,3,20,No,2,triple,high,Single,,1.0,26.91796875,Touch,a,687.51,336660,1508.3333333333335,75.7
46,1723,1.0,164,202,1791,3587,10,5,3,Yes,3,octa,medium,Dual,1.0,14.0,41.529296875,LCD,none,563.23,361782,895.5,574.3333333333334
47,1054,0.8,196,27,774,2296,16,12,12,Yes,4,hepta,medium,Dual,3.0,10.0,39.357421875,LCD,b,685.21,20898,161.25,87.83333333333333
48,578,0.2,162,1025,1433,1270,15,3,5,Yes,4,octa,high,Dual,2.0,8.0,56.294921875,LCD,g,873.76,1468825,1194.1666666666667,115.6
49,596,0.8,111,885,1854,3238,16,13,10,No,2,octa,medium,Dual,9.0,15.0,63.3310546875,LCD,none,767.66,1640790,356.53846153846155,59.6
50,1547,0.7,198,1042,1832,2059,5,0,15,Yes,4,triple,high,Dual,2.0,19.0,13.9794921875,LCD,g,1124.21,1908944,inf,103.13333333333334
51,1760,0.8,127,1382,1383,2053,19,12,16,No,2,octa,medium,Dual,5.0,19.0,61.9658203125,Touch,none,1039.02,1911306,288.125,110.0
52,1654,0.3,109,546,629,3112,12,5,10,Yes,4,dual,medium,Dual,,,42.7216796875,Touch,none,985.03,343434,314.5,165.4
53,1457,0.3,102,1013,1287,1440,17,8,12,No,4,triple,medium,Dual,1.0,10.0,15.77734375,LCD,n,882.89,1303731,402.1875,121.41666666666667
54,1073,0.5,145,690,804,2908,6,0,18,Yes,2,hepta,low,Dual,,,50.31640625,Touch,none,728.95,554760,inf,59.611111111111114
55,1936,0.6,104,667,1036,2552,14,7,13,No,4,triple,medium,Dual,10.0,20.0,44.9951171875,LCD,none,885.11,691012,370.0,148.92307692307693
56,823,0.5,148,822,1449,905,14,11,17,Yes,3,octa,high,Dual,13.0,19.0,59.208984375,Touch,b,678.04,1191078,329.3181818181818,48.411764705882355
57,987,0.4,107,581,820,3963,9,4,20,No,4,triple,medium,Dual,,9.0,59.7216796875,LCD,g,1148.18,476420,512.5,49.35
58,1757,0.5,180,265,713,2056,7,5,4,No,2,hexa,low,Single,8.0,14.0,48.240234375,LCD,none,727.74,188945,356.5,439.25
59,1063,1.0,128,127,683,2910,15,13,9,No,4,penta,medium,Dual,2.0,4.0,47.3486328125,Touch,n,1061.5,86741,131.34615384615384,118.11111111111111
60,1484,0.6,134,916,969,1457,14,4,20,No,3,triple,high,Single,3.0,5.0,12.4208984375,Touch,none,564.65,887604,605.625,74.2
61,799,0.8,144,361,975,431,15,6,6,Yes,4,octa,high,Single,1.0,6.0,61.8154296875,Touch,a,667.36,351975,406.25,133.16666666666666
62,1156,0.8,159,322,547,470,7,0,15,Yes,4,dual,medium,Dual,,,49.4267578125,Touch,none,626.46,176134,inf,77.06666666666666
63,1720,0.5,168,753,1353,2148,14,2,5,No,4,dual,medium,Single,15.0,18.0,54.2109375,Touch,n,913.26,1018809,1691.25,344.0
64,702,0.7,141,504,1570,2955,10,4,19,No,4,triple,high,Dual,2.0,3.0,9.3095703125,LCD,none,919.42,791280,981.25,36.94736842105263
65,616,0.8,81,651,1618,3366,18,8,13,No,4,triple,medium,Dual,13.0,17.0,43.357421875,Touch,none,1072.8,1053318,505.625,47.38461538461539
66,1358,0.3,155,1565,1858,3068,9,4,4,Yes,4,quad,low,Single,11.0,14.0,35.5576171875,Touch,none,1260.25,2907770,1161.25,339.5
67,1866,0.5,182,108,1781,3834,16,11,8,No,2,triple,medium,Single,,,30.119140625,LCD,none,1404.31,192348,404.77272727272725,233.25
68,1242,0.6,165,459,1225,1050,11,1,4,No,3,dual,medium,Dual,,1.0,9.9755859375,LCD,b,519.08,562275,3062.5,310.5
69,1166,0.8,80,205,603,3993,7,1,7,No,4,quad,medium,Dual,,1.0,42.298828125,Touch,none,992.05,123615,1507.5,166.57142857142858
70,1448,0.8,138,570,1724,3378,13,11,2,Yes,4,hepta,low,Dual,6.0,11.0,44.75390625,Touch,a,852.63,982680,391.8181818181818,724.0
71,1407,0.7,104,1172,1217,2192,9,7,13,Yes,4,quad,high,Single,1.0,4.0,21.7734375,LCD,b,816.15,1426324,434.64285714285717,108.23076923076923
72,605,0.1,142,160,1026,392,15,6,4,No,4,triple,medium,Single,8.0,16.0,9.390625,LCD,none,610.98,164160,427.5,151.25
73,1038,0.7,141,4,638,3709,11,0,12,No,3,single,medium,Single,3.0,5.0,42.2470703125,Touch,a,909.34,2552,inf,86.5
74,797,0.5,90,763,1413,590,9,2,6,Yes,2,quad,high,Dual,4.0,6.0,37.7060546875,Touch,none,488.27,1078119,1766.25,132.83333333333334
75,819,0.9,188,339,1242,1814,5,4,13,No,4,hexa,low,Dual,8.0,20.0,41.912109375,LCD,g,854.28,421038,776.25,63.0
76,1114,0.4,197,1040,1071,907,10,7,17,No,4,triple,high,Single,4.0,15.0,9.134765625,Touch,none,732.31,1113840,382.5,65.52941176470588
77,1234,0.6,172,166,778,1449,11,7,6,Yes,2,single,medium,Dual,1.0,3.0,32.6396484375,LCD,a,504.69,129148,277.85714285714283,205.66666666666666
78,1199,0.2,116,1168,1552,3448,17,13,10,Yes,4,quad,high,Dual,15.0,20.0,16.087890625,LCD,a,1140.04,1812736,298.46153846153845,119.9
79,1103,0.7,111,990,1486,1837,8,7,16,No,2,hexa,medium,Dual,6.0,8.0,28.6484375,Touch,b,738.2,1471140,530.7142857142857,68.9375
80,1589,0.9,85,319,1206,3464,19,10,6,Yes,4,hepta,low,Dual,,7.0,57.26953125,Touch,a,1475.94,384714,301.5,264.8333333333333
81,999,0.2,199,1397,1616,2593,14,11,16,No,4,quad,high,Dual,11.0,19.0,62.9921875,Touch,none,893.03,2257552,367.27272727272725,62.4375
82,1510,0.9,180,708,1752,3484,9,6,11,Yes,2,penta,low,Dual,2.0,3.0,45.0625,Touch,a,990.07,1240416,730.0,137.27272727272728
83,1008,1.0,114,1077,1122,2009,10,3,11,No,3,triple,low,Single,11.0,15.0,59.896484375,LCD,none,747.7,1208394,935.0,91.63636363636364
84,1127,0.8,163,928,1049,2048,11,5,17,Yes,4,single,high,Dual,5.0,13.0,55.8759765625,Touch,g,961.45,973472,524.5,66.29411764705883
85,1412,0.8,96,516,1894,837,15,9,4,Yes,2,octa,high,Single,5.0,17.0,24.8232421875,LCD,b,486.64,977304,526.1111111111111,353.0
86,1496,0.5,182,96,741,854,16,0,7,Yes,2,penta,medium,Dual,4.0,5.0,41.1484375,Touch,b,546.15,71136,inf,213.71428571428572
87,1083,0.8,178,1025,1118,3210,13,3,4,Yes,4,triple,high,Dual,1.0,11.0,63.0654296875,LCD,none,1233.65,1145950,931.6666666666667,270.75
88,668,0.1,155,666,1203,2746,9,5,8,No,3,penta,low,Dual,,13.0,3.4609375,Touch,b,625.74,801198,601.5,83.5
89,1309,0.5,100,557,1402,2334,10,1,11,No,3,quad,medium,Dual,,14.0,33.076171875,LCD,g,701.21,780914,3505.0,119.0
90,1724,0.5,177,1605,1924,2822,19,3,16,No,4,triple,medium,Dual,2.0,5.0,56.0185546875,Touch,none,1187.36,3088020,1603.3333333333335,107.75
91,1977,1.0,171,1226,1242,1971,18,7,14,Yes,4,hepta,medium,Dual,7.0,18.0,53.1865234375,Touch,none,1134.36,1522692,443.57142857142856,141.21428571428572
92,885,0.4,103,769,802,1410,16,10,5,No,4,hepta,high,Dual,,,14.927734375,Touch,n,804.03,616738,200.5,177.0
93,879,0.7,83,403,1105,349,16,10,2,Yes,4,hexa,high,Single,11.0,15.0,14.4609375,LCD,b,734.31,445315,276.25,439.5
94,1322,0.8,140,177,1990,1418,19,17,12,No,2,triple,medium,Dual,6.0,9.0,7.65234375,Touch,none,779.11,352230,292.6470588235294,110.16666666666667
95,1137,1.0,196,942,1179,3616,13,5,12,Yes,3,triple,medium,Single,18.0,19.0,7.591796875,Touch,g,992.89,1110618,589.5,94.75
96,1355,0.2,132,651,891,880,19,4,8,No,4,penta,high,Single,10.0,16.0,22.607421875,Touch,none,790.28,580041,556.875,169.375
97,1665,0.2,194,1572,1684,1601,18,17,14,Yes,4,hexa,low,Single,3.0,18.0,59.494140625,LCD,none,1178.81,2647248,247.64705882352942,118.92857142857143
98,657,0.7,141,476,961,1412,14,3,18,No,2,dual,high,Single,,1.0,36.720703125,Touch,none,457.76,457436,800.8333333333333,36.5
99,593,0.4,156,1233,1317,1692,6,2,7,No,3,hepta,low,Single,6.0,7.0,30.7705078125,LCD,none,794.59,1623861,1646.25,84.71428571428571
100,1883,0.3,146,836,1739,2600,16,8,20,Yes,4,hexa,low,Single,3.0,13.0,10.8095703125,LCD,none,1111.33,1453804,543.4375,94.15
101,1732,0.8,119,824,881,1308,16,7,11,Yes,4,octa,medium,Single,4.0,9.0,12.1494140625,LCD,a,876.95,725944,314.64285714285717,157.45454545454547
102,543,0.7,192,391,984,2413,17,14,15,No,3,penta,low,Single,,4.0,56.568359375,LCD,none,755.06,384744,175.71428571428572,36.2
103,1939,0.6,199,320,520,1047,14,10,18,Yes,4,quad,high,Dual,,10.0,54.3271484375,Touch,none,994.14,166400,130.0,107.72222222222223
104,553,0.5,121,325,902,1204,11,4,8,No,4,hepta,high,Dual,1.0,3.0,8.0712890625,Touch,b,627.66,293150,563.75,69.125
105,832,0.7,103,125,1504,1799,5,2,11,No,4,quad,low,Dual,2.0,3.0,38.75,LCD,n,878.6,188000,1880.0,75.63636363636364
106,1661,1.0,172,846,1634,2676,12,6,11,No,2,penta,medium,Dual,5.0,10.0,23.3349609375,Touch,a,918.95,1382364,680.8333333333333,151.0
107,1657,0.1,198,1770,1796,2597,18,1,14,Yes,3,penta,high,Single,3.0,16.0,41.3955078125,LCD,none,1086.69,3178920,4490.0,118.35714285714286
108,1135,0.3,83,293,1846,3029,19,17,9,Yes,3,single,medium,Dual,,4.0,45.2744140625,Touch,g,1226.18,540878,271.47058823529414,126.11111111111111
109,1775,0.1,163,1633,1869,2343,19,13,14,Yes,3,single,medium,Single,3.0,7.0,40.55859375,Touch,b,991.36,3052077,359.4230769230769,126.78571428571429
110,783,1.0,106,1198,1471,2016,16,4,18,No,4,triple,medium,Dual,,4.0,42.5888671875,Touch,none,949.02,1762258,919.375,43.5
111,617,0.5,199,768,874,2213,18,13,7,Yes,2,hepta,high,Single,,20.0,31.767578125,LCD,none,687.37,671232,168.07692307692307,88.14285714285714
112,867,0.7,135,70,1974,790,13,6,3,No,4,hexa,medium,Dual,,1.0,4.58984375,Touch,none,661.74,138180,822.5,289.0
113,1310,1.0,194,117,513,3182,8,4,5,Yes,3,penta,medium,Dual,13.0,14.0,7.3466796875,Touch,none,836.94,60021,320.625,262.0
114,1804,0.6,153,1158,1244,3472,9,1,20,No,4,hepta,low,Single,9.0,19.0,22.04296875,LCD,g,874.33,1440552,3110.0,90.2
115,1900,0.2,89,1055,1661,2871,12,1,13,Yes,4,hepta,high,Single,1.0,9.0,18.1826171875,Touch,b,1297.15,1752355,4152.5,146.15384615384616
116,909,0.3,82,635,973,3187,12,9,4,Yes,3,octa,medium,Single,,,52.359375,LCD,none,868.6,617855,270.27777777777777,227.25
117,1084,0.9,107,322,771,1945,15,4,10,Yes,4,triple,high,Single,3.0,11.0,39.642578125,Touch,none,789.15,248262,481.875,108.4
118,1308,0.9,199,275,989,488,5,3,9,No,2,single,medium,Dual,8.0,12.0,45.2236328125,Touch,none,441.19,271975,824.1666666666667,145.33333333333334
119,1778,0.5,102,1445,1954,1214,5,0,14,No,3,triple,low,Single,,,15.44140625,LCD,none,1028.68,2823530,inf,127.0
120,1701,0.3,194,550,1338,2598,12,9,6,Yes,2,octa,medium,Dual,3.0,7.0,10.05859375,Touch,none,792.04,735900,371.66666666666663,283.5
121,772,0.5,80,1242,1712,3242,18,11,4,Yes,4,quad,high,Dual,1.0,2.0,10.2392578125,Touch,none,1104.95,2126304,389.09090909090907,193.0
122,825,0.9,130,597,863,3534,10,4,6,Yes,2,triple,low,Dual,7.0,10.0,51.638671875,Touch,none,769.71,515211,539.375,137.5
123,1379,0.8,200,538,1376,3426,5,4,17,No,4,dual,medium,Single,5.0,7.0,36.0751953125,Touch,a,1124.46,740288,860.0,81.11764705882354
124,1166,0.8,198,59,1203,2488,13,5,15,No,4,penta,medium,Single,3.0,4.0,25.0830078125,LCD,none,739.5,70977,601.5,77.73333333333333
125,1659,0.6,89,819,902,3255,19,14,9,No,2,single,high,Single,5.0,20.0,16.2958984375,LCD,a,709.62,738738,161.07142857142858,184.33333333333334
126,826,0.3,88,179,786,2863,9,3,18,Yes,4,quad,high,Dual,,1.0,57.10546875,LCD,a,792.55,140694,655.0,45.888888888888886
127,1564,0.5,189,1259,1965,1496,6,4,7,No,4,hexa,high,Single,4.0,17.0,24.66796875,Touch,n,783.0,2473935,1228.125,223.42857142857142
128,1957,0.6,181,396,1732,3801,12,0,7,No,3,triple,low,Dual,11.0,16.0,30.814453125,LCD,n,854.36,685872,inf,279.57142857142856
129,1571,0.1,100,713,1398,666,12,10,13,No,4,hexa,medium,Single,,1.0,19.55859375,Touch,none,817.21,996774,349.5,120.84615384615384
130,1414,0.8,99,262,829,3799,17,7,7,No,3,hepta,medium,Dual,2.0,3.0,53.7421875,LCD,g,1173.98,217198,296.07142857142856,202.0
131,1790,0.1,184,622,792,1366,7,0,20,No,3,single,high,Dual,9.0,14.0,2.220703125,Touch,a,700.13,492624,inf,89.5
132,645,1.0,197,327,580,2962,12,9,4,No,3,hepta,low,Single,1.0,10.0,40.458984375,Touch,b,570.95,189660,161.11111111111111,161.25
133,668,0.2,195,522,1056,2399,10,5,7,No,3,octa,high,Dual,7.0,12.0,29.5283203125,Touch,g,779.64,551232,528.0,95.42857142857143
134,1652,0.7,89,313,1264,2338,12,8,20,Yes,2,quad,medium,Dual,1.0,5.0,35.3466796875,LCD,none,748.99,395632,395.0,82.6
135,1213,0.5,108,226,1248,2700,12,3,9,Yes,2,penta,low,Single,,,15.8857421875,LCD,g,915.55,282048,1040.0,134.77777777777777
136,1272,0.9,133,605,669,2235,19,4,4,Yes,3,hexa,high,Dual,,8.0,21.828125,LCD,none,839.85,404745,418.125,318.0
137,866,0.5,179,692,1686,3825,12,11,2,No,4,octa,low,Dual,5.0,7.0,45.30859375,Touch,n,934.12,1166712,383.1818181818182,433.0
138,536,0.3,182,1386,1539,284,12,9,4,No,4,hepta,high,Dual,12.0,14.0,3.4775390625,Touch,none,676.17,2133054,427.5,134.0
139,523,0.1,155,304,1042,1427,9,1,9,No,2,octa,high,Dual,1.0,2.0,14.0068359375,Touch,none,572.78,316768,2605.0,58.111111111111114
140,1753,0.1,134,1590,1926,1324,17,0,17,No,4,single,low,Dual,,18.0,31.1650390625,LCD,g,1129.62,3062340,inf,103.11764705882354
141,1218,0.5,147,229,616,398,17,0,5,No,4,triple,medium,Dual,1.0,4.0,14.33203125,LCD,none,639.66,141064,inf,243.6
142,1537,0.3,137,839,1131,3685,18,17,17,Yes,4,single,high,Single,4.0,5.0,42.31640625,Touch,n,1116.11,948909,166.3235294117647,90.41176470588235
143,786,0.5,141,507,1697,2390,12,11,5,No,3,hepta,medium,Dual,,6.0,32.8720703125,LCD,a,779.76,860379,385.6818181818182,157.2
144,1678,0.9,134,436,536,278,19,0,10,No,4,triple,medium,Single,3.0,11.0,62.9814453125,Touch,none,815.16,233696,inf,167.8
145,1814,0.4,141,756,786,3556,18,12,16,No,4,dual,medium,Dual,1.0,2.0,9.2861328125,LCD,none,1164.8,594216,163.75,113.375
146,1101,0.2,148,387,1269,2196,12,6,19,No,2,dual,medium,Single,,7.0,30.755859375,Touch,b,588.16,491103,528.75,57.94736842105263
147,1461,0.5,141,1265,1298,3799,16,1,4,No,4,hepta,high,Dual,3.0,4.0,39.4697265625,LCD,none,1202.09,1641970,3245.0,365.25
148,1216,0.4,199,1852,1967,2268,13,5,4,No,2,triple,high,Single,4.0,7.0,46.2587890625,Touch,n,739.1,3642884,983.5,304.0
149,506,0.8,159,875,1025,2965,13,10,15,No,4,single,medium,Single,6.0,7.0,40.546875,LCD,none,848.12,896875,256.25,33.733333333333334
150,843,0.1,147,140,800,2341,10,1,20,Yes,4,penta,low,Single,1.0,17.0,54.7587890625,Touch,b,593.79,112000,2000.0,42.15
151,742,0.2,190,577,1359,3557,16,11,12,No,2,hepta,medium,Dual,4.0,14.0,55.041015625,Touch,b,662.44,784143,308.8636363636364,61.833333333333336
152,1692,0.9,176,975,1996,1354,16,7,19,Yes,4,hexa,medium,Single,3.0,12.0,59.826171875,LCD,none,1148.49,1946100,712.8571428571429,89.05263157894737
153,1485,0.7,84,510,1013,2147,19,1,11,No,4,dual,medium,Single,2.0,9.0,31.7373046875,Touch,none,1161.59,516630,2532.5,135.0
154,1547,0.7,166,583,590,505,12,2,3,No,2,dual,high,Dual,6.0,8.0,44.34765625,Touch,a,442.37,343970,737.5,515.6666666666666
155,1692,0.9,139,674,1925,1394,16,10,6,No,4,single,high,Dual,4.0,6.0,45.7900390625,Touch,none,1186.81,1297450,481.25,282.0
156,637,0.8,97,1125,1989,374,18,4,8,No,4,quad,high,Single,3.0,4.0,58.791015625,LCD,g,721.1,2237625,1243.125,79.625
157,1224,0.4,109,747,826,506,10,0,11,No,4,hexa,low,Single,16.0,18.0,6.3154296875,Touch,n,709.36,617022,inf,111.27272727272727
158,1356,0.5,198,1612,1983,3702,17,0,19,No,2,hexa,high,Single,,,28.947265625,LCD,none,1084.37,3196596,inf,71.36842105263158
159,1840,0.7,142,311,1545,1078,8,0,10,No,2,single,low,Dual,12.0,16.0,33.7265625,LCD,none,846.37,480495,inf,184.0
160,1481,0.6,96,116,1533,2945,10,5,16,Yes,4,penta,low,Dual,4.0,13.0,36.5419921875,Touch,b,948.21,177828,766.5,92.5625
161,961,0.3,152,554,621,2981,15,6,7,Yes,3,hexa,medium,Dual,10.0,16.0,50.287109375,Touch,b,639.09,344034,258.75,137.28571428571428
162,1296,0.5,124,811,1272,490,7,1,4,No,4,penta,low,Dual,,3.0,14.1044921875,Touch,g,782.39,1031592,3180.0,324.0
163,1193,0.5,166,730,1729,536,17,14,4,No,3,single,low,Single,11.0,20.0,25.92578125,LCD,b,613.58,1262170,308.75,298.25
164,1441,0.1,118,577,1071,2317,16,4,7,No,4,octa,medium,Dual,11.0,17.0,3.2333984375,LCD,g,843.97,617967,669.375,205.85714285714286
165,517,0.8,183,660,974,3704,17,16,11,No,4,quad,medium,Dual,3.0,8.0,32.55078125,LCD,n,870.93,642840,152.1875,47.0
166,748,0.9,150,450,1554,2126,18,9,7,Yes,4,octa,medium,Single,,4.0,26.7607421875,LCD,none,888.93,699300,431.66666666666663,106.85714285714286
167,1126,0.4,160,1223,1611,2050,7,6,12,Yes,4,hexa,high,Single,2.0,3.0,10.212890625,Touch,g,1054.12,1970253,671.25,93.83333333333333
168,1572,0.2,157,1109,1937,2462,12,8,10,No,4,hepta,low,Single,,8.0,57.4892578125,LCD,none,956.21,2148133,605.3125,157.2
169,1569,0.3,110,45,1942,1260,9,2,17,No,3,quad,high,Dual,17.0,20.0,43.509765625,LCD,none,736.97,87390,2427.5,92.29411764705883
170,1270,0.5,101,299,845,3770,5,3,13,Yes,4,hepta,low,Dual,2.0,6.0,31.7177734375,Touch,none,1315.62,252655,704.1666666666667,97.6923076923077
171,1854,0.1,101,506,627,1886,17,4,20,No,4,penta,high,Single,2.0,5.0,8.7275390625,Touch,none,1100.11,317262,391.875,92.7
172,625,0.2,183,635,842,3323,9,1,7,Yes,4,quad,medium,Dual,5.0,8.0,10.12890625,Touch,n,894.4,534670,2105.0,89.28571428571429
173,1577,0.3,197,1045,1737,2060,19,6,12,No,4,penta,low,Dual,,4.0,41.5224609375,LCD,none,904.76,1815165,723.75,131.41666666666666
174,534,1.0,189,393,1199,3926,16,12,20,No,4,penta,low,Dual,,1.0,16.27734375,LCD,none,1167.1,471207,249.79166666666669,26.7
175,946,0.8,143,650,1740,2177,7,5,13,No,4,hexa,medium,Dual,8.0,15.0,24.8642578125,Touch,b,817.24,1131000,870.0,72.76923076923077
176,685,0.8,93,433,648,728,14,8,4,No,2,hepta,low,Single,2.0,10.0,28.666015625,LCD,b,450.72,280584,202.5,171.25
177,1949,0.1,101,839,1136,2478,14,8,20,No,3,penta,medium,Dual,,1.0,23.2548828125,LCD,none,922.71,953104,355.0,97.45
178,947,0.1,197,1176,1220,2842,16,12,2,No,4,dual,low,Dual,,13.0,22.4697265625,LCD,none,753.34,1434720,254.16666666666669,473.5
