id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,resolution,DPI_W,call_ratio
26,519,0.3,132,550,645,3763,16,1,4,Yes,4,quad,medium,Dual,7.0,19.0,50.4443359375,LCD,b,495,354750,253.93700787401573,129.75
27,956,1.0,143,511,1075,3286,17,8,12,No,4,hepta,low,Single,1.0,6.0,40.708984375,Touch,none,992,549325,52.903543307086615,79.66666666666667
28,1453,0.3,96,187,1311,2373,10,1,10,No,4,dual,medium,Dual,12.0,18.0,51.240234375,Touch,n,926,245157,516.1417322834645,145.3
29,851,0.4,200,1171,1263,478,12,7,10,No,3,penta,low,Single,3.0,7.0,21.0283203125,LCD,b,584,1478973,71.03487064116985,85.1
30,1579,0.2,88,1358,1739,3532,17,11,12,Yes,2,hepta,low,Dual,0.0,9.0,5.078125,LCD,a,1272,2361562,62.240515390121686,131.58333333333334
31,1568,1.0,150,413,654,508,5,1,6,Yes,3,octa,low,Single,16.0,20.0,32.7998046875,Touch,a,665,270102,257.4803149606299,261.3333333333333
32,1319,0.9,107,85,1152,2227,18,5,3,Yes,4,single,low,Single,3.0,18.0,40.7431640625,Touch,b,1053,97920,90.70866141732283,439.6666666666667
33,1310,0.6,100,178,1919,3845,7,0,12,Yes,4,quad,medium,Dual,0.0,0.0,50.7451171875,Touch,none,1029,341582,inf,109.16666666666667
34,644,0.7,157,311,881,1262,12,1,15,Yes,3,octa,high,Single,0.0,3.0,22.1982421875,LCD,none,595,273991,346.8503937007874,42.93333333333333
35,725,0.4,160,1134,1249,1326,10,4,15,No,3,octa,medium,Dual,16.0,17.0,59.0302734375,LCD,none,921,1416366,122.93307086614173,48.333333333333336
36,589,0.6,160,429,815,2113,13,7,2,Yes,3,quad,high,Dual,1.0,10.0,60.287109375,LCD,g,750,349635,45.83802024746907,294.5
37,1725,0.5,119,609,1307,3429,6,5,4,Yes,4,dual,medium,Dual,6.0,18.0,6.6337890625,Touch,none,1182,795963,102.91338582677164,431.25
38,790,0.3,87,347,730,3169,6,1,2,No,4,hexa,medium,Dual,16.0,17.0,11.630859375,LCD,n,1238,253310,287.40157480314963,395.0
39,560,0.3,159,1448,1613,2150,18,12,11,No,3,dual,low,Dual,15.0,20.0,49.572265625,Touch,none,776,2335624,52.91994750656168,50.90909090909091
40,1347,0.6,132,434,967,2484,18,2,11,No,3,single,high,Single,5.0,14.0,43.5146484375,LCD,a,819,419678,190.35433070866142,122.45454545454545
41,1646,0.2,185,1725,1932,3339,18,10,19,Yes,4,dual,high,Single,8.0,10.0,40.486328125,Touch,none,1042,3332700,76.06299212598425,86.63157894736842
42,1253,0.2,152,685,714,1878,15,0,4,Yes,4,dual,low,Dual,5.0,19.0,5.154296875,Touch,none,901,489090,inf,313.25
43,1656,0.1,166,880,1456,1629,15,12,14,No,4,triple,medium,Single,5.0,7.0,33.8154296875,Touch,none,763,1281280,47.76902887139107,118.28571428571429
44,1195,0.8,110,1580,1652,504,9,3,12,Yes,4,dual,high,Single,1.0,14.0,20.08984375,Touch,none,946,2610160,216.79790026246718,99.58333333333333
45,1514,0.2,118,186,1810,1152,8,3,20,No,2,triple,high,Single,0.0,1.0,26.91796875,Touch,a,687,336660,237.53280839895015,75.7
46,1723,1.0,164,202,1791,3587,10,5,3,Yes,3,octa,medium,Dual,1.0,14.0,41.529296875,LCD,none,563,361782,141.0236220472441,574.3333333333334
47,1054,0.8,196,27,774,2296,16,12,12,Yes,4,hepta,medium,Dual,3.0,10.0,39.357421875,LCD,b,685,20898,25.393700787401574,87.83333333333333
48,578,0.2,162,1025,1433,1270,15,3,5,Yes,4,octa,high,Dual,2.0,8.0,56.294921875,LCD,g,873,1468825,188.05774278215225,115.6
49,596,0.8,111,885,1854,3238,16,13,10,No,2,octa,medium,Dual,9.0,15.0,63.3310546875,LCD,none,767,1640790,56.14778921865536,59.6
50,1547,0.7,198,1042,1832,2059,5,0,15,Yes,4,triple,high,Dual,2.0,19.0,13.9794921875,LCD,g,1124,1908944,inf,103.13333333333334
51,1760,0.8,127,1382,1383,2053,19,12,16,No,2,octa,medium,Dual,5.0,19.0,61.9658203125,Touch,none,1039,1911306,45.374015748031496,110.0
52,1654,0.3,109,546,629,3112,12,5,10,Yes,4,dual,medium,Dual,0.0,0.0,42.7216796875,Touch,none,985,343434,49.52755905511811,165.4
53,1457,0.3,102,1013,1287,1440,17,8,12,No,4,triple,medium,Dual,1.0,10.0,15.77734375,LCD,n,882,1303731,63.33661417322835,121.41666666666667
54,1073,0.5,145,690,804,2908,6,0,18,Yes,2,hepta,low,Dual,0.0,0.0,50.31640625,Touch,none,728,554760,inf,59.611111111111114
55,1936,0.6,104,667,1036,2552,14,7,13,No,4,triple,medium,Dual,10.0,20.0,44.9951171875,LCD,none,885,691012,58.26771653543307,148.92307692307693
56,823,0.5,148,822,1449,905,14,11,17,Yes,3,octa,high,Dual,13.0,19.0,59.208984375,Touch,b,678,1191078,51.86113099498926,48.411764705882355
57,987,0.4,107,581,820,3963,9,4,20,No,4,triple,medium,Dual,0.0,9.0,59.7216796875,LCD,g,1148,476420,80.70866141732283,49.35
58,1757,0.5,180,265,713,2056,7,5,4,No,2,hexa,low,Single,8.0,14.0,48.240234375,LCD,none,727,188945,56.14173228346456,439.25
59,1063,1.0,128,127,683,2910,15,13,9,No,4,penta,medium,Dual,2.0,4.0,47.3486328125,Touch,n,1061,86741,20.68443367655966,118.11111111111111
60,1484,0.6,134,916,969,1457,14,4,20,No,3,triple,high,Single,3.0,5.0,12.4208984375,Touch,none,564,887604,95.3740157480315,74.2
61,799,0.8,144,361,975,431,15,6,6,Yes,4,octa,high,Single,1.0,6.0,61.8154296875,Touch,a,667,351975,63.976377952755904,133.16666666666666
62,1156,0.8,159,322,547,470,7,0,15,Yes,4,dual,medium,Dual,0.0,0.0,49.4267578125,Touch,none,626,176134,inf,77.06666666666666
63,1720,0.5,168,753,1353,2148,14,2,5,No,4,dual,medium,Single,15.0,18.0,54.2109375,Touch,n,913,1018809,266.33858267716533,344.0
64,702,0.7,141,504,1570,2955,10,4,19,No,4,triple,high,Dual,2.0,3.0,9.3095703125,LCD,none,919,791280,154.5275590551181,36.94736842105263
65,616,0.8,81,651,1618,3366,18,8,13,No,4,triple,medium,Dual,13.0,17.0,43.357421875,Touch,none,1072,1053318,79.6259842519685,47.38461538461539
66,1358,0.3,155,1565,1858,3068,9,4,4,Yes,4,quad,low,Single,11.0,14.0,35.5576171875,Touch,none,1260,2907770,182.8740157480315,339.5
67,1866,0.5,182,108,1781,3834,16,11,8,No,2,triple,medium,Single,0.0,0.0,30.119140625,LCD,none,1404,192348,63.74373657838225,233.25
68,1242,0.6,165,459,1225,1050,11,1,4,No,3,dual,medium,Dual,0.0,1.0,9.9755859375,LCD,b,519,562275,482.2834645669291,310.5
69,1166,0.8,80,205,603,3993,7,1,7,No,4,quad,medium,Dual,0.0,1.0,42.298828125,Touch,none,992,123615,237.4015748031496,166.57142857142858
70,1448,0.8,138,570,1724,3378,13,11,2,Yes,4,hepta,low,Dual,6.0,11.0,44.75390625,Touch,a,852,982680,61.70365068002863,724.0
71,1407,0.7,104,1172,1217,2192,9,7,13,Yes,4,quad,high,Single,1.0,4.0,21.7734375,LCD,b,816,1426324,68.44769403824522,108.23076923076923
72,605,0.1,142,160,1026,392,15,6,4,No,4,triple,medium,Single,8.0,16.0,9.390625,LCD,none,610,164160,67.32283464566929,151.25
73,1038,0.7,141,4,638,3709,11,0,12,No,3,single,medium,Single,3.0,5.0,42.2470703125,Touch,a,909,2552,inf,86.5
74,797,0.5,90,763,1413,590,9,2,6,Yes,2,quad,high,Dual,4.0,6.0,37.7060546875,Touch,none,488,1078119,278.1496062992126,132.83333333333334
75,819,0.9,188,339,1242,1814,5,4,13,No,4,hexa,low,Dual,8.0,20.0,41.912109375,LCD,g,854,421038,122.24409448818898,63.0
76,1114,0.4,197,1040,1071,907,10,7,17,No,4,triple,high,Single,4.0,15.0,9.134765625,Touch,none,732,1113840,60.23622047244094,65.52941176470588
77,1234,0.6,172,166,778,1449,11,7,6,Yes,2,single,medium,Dual,1.0,3.0,32.6396484375,LCD,a,504,129148,43.7570303712036,205.66666666666666
78,1199,0.2,116,1168,1552,3448,17,13,10,Yes,4,quad,high,Dual,15.0,20.0,16.087890625,LCD,a,1140,1812736,47.00181708055724,119.9
79,1103,0.7,111,990,1486,1837,8,7,16,No,2,hexa,medium,Dual,6.0,8.0,28.6484375,Touch,b,738,1471140,83.57705286839145,68.9375
80,1589,0.9,85,319,1206,3464,19,10,6,Yes,4,hepta,low,Dual,0.0,7.0,57.26953125,Touch,a,1475,384714,47.48031496062992,264.8333333333333
81,999,0.2,199,1397,1616,2593,14,11,16,No,4,quad,high,Dual,11.0,19.0,62.9921875,Touch,none,893,2257552,57.838224767358625,62.4375
82,1510,0.9,180,708,1752,3484,9,6,11,Yes,2,penta,low,Dual,2.0,3.0,45.0625,Touch,a,990,1240416,114.96062992125984,137.27272727272728
83,1008,1.0,114,1077,1122,2009,10,3,11,No,3,triple,low,Single,11.0,15.0,59.896484375,LCD,none,747,1208394,147.24409448818898,91.63636363636364
84,1127,0.8,163,928,1049,2048,11,5,17,Yes,4,single,high,Dual,5.0,13.0,55.8759765625,Touch,g,961,973472,82.5984251968504,66.29411764705883
85,1412,0.8,96,516,1894,837,15,9,4,Yes,2,octa,high,Single,5.0,17.0,24.8232421875,LCD,b,486,977304,82.85214348206475,353.0
86,1496,0.5,182,96,741,854,16,0,7,Yes,2,penta,medium,Dual,4.0,5.0,41.1484375,Touch,b,546,71136,inf,213.71428571428572
87,1083,0.8,178,1025,1118,3210,13,3,4,Yes,4,triple,high,Dual,1.0,11.0,63.0654296875,LCD,none,1233,1145950,146.71916010498688,270.75
88,668,0.1,155,666,1203,2746,9,5,8,No,3,penta,low,Dual,0.0,13.0,3.4609375,Touch,b,625,801198,94.72440944881889,83.5
89,1309,0.5,100,557,1402,2334,10,1,11,No,3,quad,medium,Dual,0.0,14.0,33.076171875,LCD,g,701,780914,551.9685039370079,119.0
90,1724,0.5,177,1605,1924,2822,19,3,16,No,4,triple,medium,Dual,2.0,5.0,56.0185546875,Touch,none,1187,3088020,252.49343832020998,107.75
91,1977,1.0,171,1226,1242,1971,18,7,14,Yes,4,hepta,medium,Dual,7.0,18.0,53.1865234375,Touch,none,1134,1522692,69.85376827896512,141.21428571428572
92,885,0.4,103,769,802,1410,16,10,5,No,4,hepta,high,Dual,0.0,0.0,14.927734375,Touch,n,804,616738,31.5748031496063,177.0
93,879,0.7,83,403,1105,349,16,10,2,Yes,4,hexa,high,Single,11.0,15.0,14.4609375,LCD,b,734,445315,43.503937007874015,439.5
94,1322,0.8,140,177,1990,1418,19,17,12,No,2,triple,medium,Dual,6.0,9.0,7.65234375,Touch,none,779,352230,46.0861509958314,110.16666666666667
95,1137,1.0,196,942,1179,3616,13,5,12,Yes,3,triple,medium,Single,18.0,19.0,7.591796875,Touch,g,992,1110618,92.83464566929135,94.75
96,1355,0.2,132,651,891,880,19,4,8,No,4,penta,high,Single,10.0,16.0,22.607421875,Touch,none,790,580041,87.69685039370079,169.375
97,1665,0.2,194,1572,1684,1601,18,17,14,Yes,4,hexa,low,Single,3.0,18.0,59.494140625,LCD,none,1178,2647248,38.999536822603055,118.92857142857143
98,657,0.7,141,476,961,1412,14,3,18,No,2,dual,high,Single,0.0,1.0,36.720703125,Touch,none,457,457436,126.11548556430445,36.5
99,593,0.4,156,1233,1317,1692,6,2,7,No,3,hepta,low,Single,6.0,7.0,30.7705078125,LCD,none,794,1623861,259.251968503937,84.71428571428571
100,1883,0.3,146,836,1739,2600,16,8,20,Yes,4,hexa,low,Single,3.0,13.0,10.8095703125,LCD,none,1111,1453804,85.58070866141732,94.15
101,1732,0.8,119,824,881,1308,16,7,11,Yes,4,octa,medium,Single,4.0,9.0,12.1494140625,LCD,a,876,725944,49.55005624296963,157.45454545454547
102,543,0.7,192,391,984,2413,17,14,15,No,3,penta,low,Single,0.0,4.0,56.568359375,LCD,none,755,384744,27.671541057367833,36.2
103,1939,0.6,199,320,520,1047,14,10,18,Yes,4,quad,high,Dual,0.0,10.0,54.3271484375,Touch,none,994,166400,20.47244094488189,107.72222222222223
104,553,0.5,121,325,902,1204,11,4,8,No,4,hepta,high,Dual,1.0,3.0,8.0712890625,Touch,b,627,293150,88.77952755905511,69.125
105,832,0.7,103,125,1504,1799,5,2,11,No,4,quad,low,Dual,2.0,3.0,38.75,LCD,n,878,188000,296.06299212598424,75.63636363636364
106,1661,1.0,172,846,1634,2676,12,6,11,No,2,penta,medium,Dual,5.0,10.0,23.3349609375,Touch,a,918,1382364,107.21784776902886,151.0
107,1657,0.1,198,1770,1796,2597,18,1,14,Yes,3,penta,high,Single,3.0,16.0,41.3955078125,LCD,none,1086,3178920,707.0866141732283,118.35714285714286
108,1135,0.3,83,293,1846,3029,19,17,9,Yes,3,single,medium,Dual,0.0,4.0,45.2744140625,Touch,g,1226,540878,42.75127373784159,126.11111111111111
109,1775,0.1,163,1633,1869,2343,19,13,14,Yes,3,single,medium,Single,3.0,7.0,40.55859375,Touch,b,991,3052077,56.60205935796487,126.78571428571429
110,783,1.0,106,1198,1471,2016,16,4,18,No,4,triple,medium,Dual,0.0,4.0,42.5888671875,Touch,none,949,1762258,144.78346456692913,43.5
111,617,0.5,199,768,874,2213,18,13,7,Yes,2,hepta,high,Single,0.0,20.0,31.767578125,LCD,none,687,671232,26.468806783767413,88.14285714285714
112,867,0.7,135,70,1974,790,13,6,3,No,4,hexa,medium,Dual,0.0,1.0,4.58984375,Touch,none,661,138180,129.5275590551181,289.0
113,1310,1.0,194,117,513,3182,8,4,5,Yes,3,penta,medium,Dual,13.0,14.0,7.3466796875,Touch,none,836,60021,50.49212598425197,262.0
114,1804,0.6,153,1158,1244,3472,9,1,20,No,4,hepta,low,Single,9.0,19.0,22.04296875,LCD,g,874,1440552,489.76377952755905,90.2
115,1900,0.2,89,1055,1661,2871,12,1,13,Yes,4,hepta,high,Single,1.0,9.0,18.1826171875,Touch,b,1297,1752355,653.9370078740158,146.15384615384616
116,909,0.3,82,635,973,3187,12,9,4,Yes,3,octa,medium,Single,0.0,0.0,52.359375,LCD,none,868,617855,42.56342957130359,227.25
117,1084,0.9,107,322,771,1945,15,4,10,Yes,4,triple,high,Single,3.0,11.0,39.642578125,Touch,none,789,248262,75.88582677165354,108.4
118,1308,0.9,199,275,989,488,5,3,9,No,2,single,medium,Dual,8.0,12.0,45.2236328125,Touch,none,441,271975,129.79002624671918,145.33333333333334
119,1778,0.5,102,1445,1954,1214,5,0,14,No,3,triple,low,Single,0.0,0.0,15.44140625,LCD,none,1028,2823530,inf,127.0
120,1701,0.3,194,550,1338,2598,12,9,6,Yes,2,octa,medium,Dual,3.0,7.0,10.05859375,Touch,none,792,735900,58.530183727034114,283.5
121,772,0.5,80,1242,1712,3242,18,11,4,Yes,4,quad,high,Dual,1.0,2.0,10.2392578125,Touch,none,1104,2126304,61.27415891195418,193.0
122,825,0.9,130,597,863,3534,10,4,6,Yes,2,triple,low,Dual,7.0,10.0,51.638671875,Touch,none,769,515211,84.94094488188976,137.5
123,1379,0.8,200,538,1376,3426,5,4,17,No,4,dual,medium,Single,5.0,7.0,36.0751953125,Touch,a,1124,740288,135.43307086614172,81.11764705882354
124,1166,0.8,198,59,1203,2488,13,5,15,No,4,penta,medium,Single,3.0,4.0,25.0830078125,LCD,none,739,70977,94.72440944881889,77.73333333333333
125,1659,0.6,89,819,902,3255,19,14,9,No,2,single,high,Single,5.0,20.0,16.2958984375,LCD,a,709,738738,25.36557930258718,184.33333333333334
126,826,0.3,88,179,786,2863,9,3,18,Yes,4,quad,high,Dual,0.0,1.0,57.10546875,LCD,a,792,140694,103.14960629921259,45.888888888888886
127,1564,0.5,189,1259,1965,1496,6,4,7,No,4,hexa,high,Single,4.0,17.0,24.66796875,Touch,n,783,2473935,193.40551181102362,223.42857142857142
128,1957,0.6,181,396,1732,3801,12,0,7,No,3,triple,low,Dual,11.0,16.0,30.814453125,LCD,n,854,685872,inf,279.57142857142856
129,1571,0.1,100,713,1398,666,12,10,13,No,4,hexa,medium,Single,0.0,1.0,19.55859375,Touch,none,817,996774,55.03937007874016,120.84615384615384
130,1414,0.8,99,262,829,3799,17,7,7,No,3,hepta,medium,Dual,2.0,3.0,53.7421875,LCD,g,1173,217198,46.625421822272216,202.0
131,1790,0.1,184,622,792,1366,7,0,20,No,3,single,high,Dual,9.0,14.0,2.220703125,Touch,a,700,492624,inf,89.5
132,645,1.0,197,327,580,2962,12,9,4,No,3,hepta,low,Single,1.0,10.0,40.458984375,Touch,b,570,189660,25.37182852143482,161.25
133,668,0.2,195,522,1056,2399,10,5,7,No,3,octa,high,Dual,7.0,12.0,29.5283203125,Touch,g,779,551232,83.14960629921259,95.42857142857143
134,1652,0.7,89,313,1264,2338,12,8,20,Yes,2,quad,medium,Dual,1.0,5.0,35.3466796875,LCD,none,748,395632,62.204724409448815,82.6
135,1213,0.5,108,226,1248,2700,12,3,9,Yes,2,penta,low,Single,0.0,0.0,15.8857421875,LCD,g,915,282048,163.7795275590551,134.77777777777777
136,1272,0.9,133,605,669,2235,19,4,4,Yes,3,hexa,high,Dual,0.0,8.0,21.828125,LCD,none,839,404745,65.84645669291338,318.0
137,866,0.5,179,692,1686,3825,12,11,2,No,4,octa,low,Dual,5.0,7.0,45.30859375,Touch,n,934,1166712,60.343593414459555,433.0
138,536,0.3,182,1386,1539,284,12,9,4,No,4,hepta,high,Dual,12.0,14.0,3.4775390625,Touch,none,676,2133054,67.32283464566929,134.0
139,523,0.1,155,304,1042,1427,9,1,9,No,2,octa,high,Dual,1.0,2.0,14.0068359375,Touch,none,572,316768,410.23622047244095,58.111111111111114
140,1753,0.1,134,1590,1926,1324,17,0,17,No,4,single,low,Dual,0.0,18.0,31.1650390625,LCD,g,1129,3062340,inf,103.11764705882354
141,1218,0.5,147,229,616,398,17,0,5,No,4,triple,medium,Dual,1.0,4.0,14.33203125,LCD,none,639,141064,inf,243.6
142,1537,0.3,137,839,1131,3685,18,17,17,Yes,4,single,high,Single,4.0,5.0,42.31640625,Touch,n,1116,948909,26.1926817971283,90.41176470588235
143,786,0.5,141,507,1697,2390,12,11,5,No,3,hepta,medium,Dual,0.0,6.0,32.8720703125,LCD,a,779,860379,60.73729420186113,157.2
144,1678,0.9,134,436,536,278,19,0,10,No,4,triple,medium,Single,3.0,11.0,62.9814453125,Touch,none,815,233696,inf,167.8
145,1814,0.4,141,756,786,3556,18,12,16,No,4,dual,medium,Dual,1.0,2.0,9.2861328125,LCD,none,1164,594216,25.787401574803148,113.375
146,1101,0.2,148,387,1269,2196,12,6,19,No,2,dual,medium,Single,0.0,7.0,30.755859375,Touch,b,588,491103,83.26771653543307,57.94736842105263
147,1461,0.5,141,1265,1298,3799,16,1,4,No,4,hepta,high,Dual,3.0,4.0,39.4697265625,LCD,none,1202,1641970,511.0236220472441,365.25
148,1216,0.4,199,1852,1967,2268,13,5,4,No,2,triple,high,Single,4.0,7.0,46.2587890625,Touch,n,739,3642884,154.88188976377953,304.0
149,506,0.8,159,875,1025,2965,13,10,15,No,4,single,medium,Single,6.0,7.0,40.546875,LCD,none,848,896875,40.354330708661415,33.733333333333334
150,843,0.1,147,140,800,2341,10,1,20,Yes,4,penta,low,Single,1.0,17.0,54.7587890625,Touch,b,593,112000,314.96062992125985,42.15
151,742,0.2,190,577,1359,3557,16,11,12,No,2,hepta,medium,Dual,4.0,14.0,55.041015625,Touch,b,662,784143,48.639942734430925,61.833333333333336
152,1692,0.9,176,975,1996,1354,16,7,19,Yes,4,hexa,medium,Single,3.0,12.0,59.826171875,LCD,none,1148,1946100,112.26096737907763,89.05263157894737
153,1485,0.7,84,510,1013,2147,19,1,11,No,4,dual,medium,Single,2.0,9.0,31.7373046875,Touch,none,1161,516630,398.81889763779526,135.0
154,1547,0.7,166,583,590,505,12,2,3,No,2,dual,high,Dual,6.0,8.0,44.34765625,Touch,a,442,343970,116.14173228346456,515.6666666666666
155,1692,0.9,139,674,1925,1394,16,10,6,No,4,single,high,Dual,4.0,6.0,45.7900390625,Touch,none,1186,1297450,75.78740157480316,282.0
156,637,0.8,97,1125,1989,374,18,4,8,No,4,quad,high,Single,3.0,4.0,58.791015625,LCD,g,721,2237625,195.76771653543307,79.625
157,1224,0.4,109,747,826,506,10,0,11,No,4,hexa,low,Single,16.0,18.0,6.3154296875,Touch,n,709,617022,inf,111.27272727272727
158,1356,0.5,198,1612,1983,3702,17,0,19,No,2,hexa,high,Single,0.0,0.0,28.947265625,LCD,none,1084,3196596,inf,71.36842105263158
159,1840,0.7,142,311,1545,1078,8,0,10,No,2,single,low,Dual,12.0,16.0,33.7265625,LCD,none,846,480495,inf,184.0
160,1481,0.6,96,116,1533,2945,10,5,16,Yes,4,penta,low,Dual,4.0,13.0,36.5419921875,Touch,b,948,177828,120.70866141732284,92.5625
161,961,0.3,152,554,621,2981,15,6,7,Yes,3,hexa,medium,Dual,10.0,16.0,50.287109375,Touch,b,639,344034,40.74803149606299,137.28571428571428
162,1296,0.5,124,811,1272,490,7,1,4,No,4,penta,low,Dual,0.0,3.0,14.1044921875,Touch,g,782,1031592,500.78740157480314,324.0
163,1193,0.5,166,730,1729,536,17,14,4,No,3,single,low,Single,11.0,20.0,25.92578125,LCD,b,613,1262170,48.62204724409449,298.25
164,1441,0.1,118,577,1071,2317,16,4,7,No,4,octa,medium,Dual,11.0,17.0,3.2333984375,LCD,g,843,617967,105.41338582677166,205.85714285714286
165,517,0.8,183,660,974,3704,17,16,11,No,4,quad,medium,Dual,3.0,8.0,32.55078125,LCD,n,870,642840,23.966535433070867,47.0
166,748,0.9,150,450,1554,2126,18,9,7,Yes,4,octa,medium,Single,0.0,4.0,26.7607421875,LCD,none,888,699300,67.9790026246719,106.85714285714286
167,1126,0.4,160,1223,1611,2050,7,6,12,Yes,4,hexa,high,Single,2.0,3.0,10.212890625,Touch,g,1054,1970253,105.70866141732283,93.83333333333333
168,1572,0.2,157,1109,1937,2462,12,8,10,No,4,hepta,low,Single,0.0,8.0,57.4892578125,LCD,none,956,2148133,95.3248031496063,157.2
169,1569,0.3,110,45,1942,1260,9,2,17,No,3,quad,high,Dual,17.0,20.0,43.509765625,LCD,none,736,87390,382.2834645669291,92.29411764705883
170,1270,0.5,101,299,845,3770,5,3,13,Yes,4,hepta,low,Dual,2.0,6.0,31.7177734375,Touch,none,1315,252655,110.89238845144358,97.6923076923077
171,1854,0.1,101,506,627,1886,17,4,20,No,4,penta,high,Single,2.0,5.0,8.7275390625,Touch,none,1100,317262,61.71259842519685,92.7
172,625,0.2,183,635,842,3323,9,1,7,Yes,4,quad,medium,Dual,5.0,8.0,10.12890625,Touch,n,894,534670,331.496062992126,89.28571428571429
173,1577,0.3,197,1045,1737,2060,19,6,12,No,4,penta,low,Dual,0.0,4.0,41.5224609375,LCD,none,904,1815165,113.97637795275591,131.41666666666666
174,534,1.0,189,393,1199,3926,16,12,20,No,4,penta,low,Dual,0.0,1.0,16.27734375,LCD,none,1167,471207,39.33727034120735,26.7
175,946,0.8,143,650,1740,2177,7,5,13,No,4,hexa,medium,Dual,8.0,15.0,24.8642578125,Touch,b,817,1131000,137.00787401574803,72.76923076923077
176,685,0.8,93,433,648,728,14,8,4,No,2,hepta,low,Single,2.0,10.0,28.666015625,LCD,b,450,280584,31.88976377952756,171.25
