id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,cores_ord,speed_ord,wifi_ord,sim_ord,bluetooth_bin,screen_bin
19,682,1.0,121,902,1064,2337,11,1,18,Yes,2,quad,low,Single,4.0,11.0,19253,Touch,a,709,4,1,5,2,1,1
20,772,0.8,81,1314,1854,2819,17,15,3,No,3,hepta,medium,Dual,12.0,14.0,39936,Touch,none,758,7,2,1,1,0,1
21,1709,1.0,156,974,1385,3283,17,1,15,Yes,3,dual,medium,Single,1.0,2.0,13308,LCD,none,1081,2,2,1,2,1,0
22,1949,0.3,199,407,822,1433,11,5,20,No,2,quad,high,Dual,4.0,7.0,47297,LCD,b,688,4,3,4,1,0,0
23,1602,0.7,114,466,788,1037,8,7,20,Yes,4,triple,high,Dual,4.0,20.0,38437,LCD,none,750,3,3,1,1,1,0
24,503,0.4,111,201,1245,2583,11,0,12,No,4,triple,medium,Dual,5.0,13.0,8430,LCD,none,920,3,2,1,1,0,0
25,961,0.6,114,291,1434,2782,18,9,7,Yes,4,octa,medium,Dual,0.0,3.0,57402,Touch,a,817,8,2,5,1,1,1
26,519,0.3,132,550,645,3763,16,1,4,Yes,4,quad,medium,Dual,7.0,19.0,51655,LCD,b,495,4,2,4,1,1,0
27,956,1.0,143,511,1075,3286,17,8,12,No,4,hepta,low,Single,1.0,6.0,41686,Touch,none,992,7,1,1,2,0,1
28,1453,0.3,96,187,1311,2373,10,1,10,No,4,dual,medium,Dual,12.0,18.0,52470,Touch,n,926,2,2,2,1,0,1
29,851,0.4,200,1171,1263,478,12,7,10,No,3,penta,low,Single,3.0,7.0,21533,LCD,b,584,5,1,4,2,0,0
30,1579,0.2,88,1358,1739,3532,17,11,12,Yes,2,hepta,low,Dual,0.0,9.0,5200,LCD,a,1272,7,1,5,1,1,0
31,1568,1.0,150,413,654,508,5,1,6,Yes,3,octa,low,Single,16.0,20.0,33587,Touch,a,665,8,1,5,2,1,1
32,1319,0.9,107,85,1152,2227,18,5,3,Yes,4,single,low,Single,3.0,18.0,41721,Touch,b,1053,1,1,4,2,1,1
33,1310,0.6,100,178,1919,3845,7,0,12,Yes,4,quad,medium,Dual,0.0,0.0,51963,Touch,none,1029,4,2,1,1,1,1
34,644,0.7,157,311,881,1262,12,1,15,Yes,3,octa,high,Single,0.0,3.0,22731,LCD,none,595,8,3,1,2,1,0
35,725,0.4,160,1134,1249,1326,10,4,15,No,3,octa,medium,Dual,16.0,17.0,60447,LCD,none,921,8,2,1,1,0,0
36,589,0.6,160,429,815,2113,13,7,2,Yes,3,quad,high,Dual,1.0,10.0,61734,LCD,g,750,4,3,3,1,1,0
37,1725,0.5,119,609,1307,3429,6,5,4,Yes,4,dual,medium,Dual,6.0,18.0,6793,Touch,none,1182,2,2,1,1,1,1
38,790,0.3,87,347,730,3169,6,1,2,No,4,hexa,medium,Dual,16.0,17.0,11910,LCD,n,1238,6,2,2,1,0,0
39,560,0.3,159,1448,1613,2150,18,12,11,No,3,dual,low,Dual,15.0,20.0,50762,Touch,none,776,2,1,1,1,0,1
40,1347,0.6,132,434,967,2484,18,2,11,No,3,single,high,Single,5.0,14.0,44559,LCD,a,819,1,3,5,2,0,0
41,1646,0.2,185,1725,1932,3339,18,10,19,Yes,4,dual,high,Single,8.0,10.0,41458,Touch,none,1042,2,3,1,2,1,1
42,1253,0.2,152,685,714,1878,15,0,4,Yes,4,dual,low,Dual,5.0,19.0,5278,Touch,none,901,2,1,1,1,1,1
43,1656,0.1,166,880,1456,1629,15,12,14,No,4,triple,medium,Single,5.0,7.0,34627,Touch,none,763,3,2,1,2,0,1
44,1195,0.8,110,1580,1652,504,9,3,12,Yes,4,dual,high,Single,1.0,14.0,20572,Touch,none,946,2,3,1,2,1,1
45,1514,0.2,118,186,1810,1152,8,3,20,No,2,triple,high,Single,0.0,1.0,27564,Touch,a,687,3,3,5,2,0,1
46,1723,1.0,164,202,1791,3587,10,5,3,Yes,3,octa,medium,Dual,1.0,14.0,42526,LCD,none,563,8,2,1,1,1,0
47,1054,0.8,196,27,774,2296,16,12,12,Yes,4,hepta,medium,Dual,3.0,10.0,40302,LCD,b,685,7,2,4,1,1,0
48,578,0.2,162,1025,1433,1270,15,3,5,Yes,4,octa,high,Dual,2.0,8.0,57646,LCD,g,873,8,3,3,1,1,0
49,596,0.8,111,885,1854,3238,16,13,10,No,2,octa,medium,Dual,9.0,15.0,64851,LCD,none,767,8,2,1,1,0,0
50,1547,0.7,198,1042,1832,2059,5,0,15,Yes,4,triple,high,Dual,2.0,19.0,14315,LCD,g,1124,3,3,3,1,1,0
51,1760,0.8,127,1382,1383,2053,19,12,16,No,2,octa,medium,Dual,5.0,19.0,63453,Touch,none,1039,8,2,1,1,0,1
52,1654,0.3,109,546,629,3112,12,5,10,Yes,4,dual,medium,Dual,0.0,0.0,43747,Touch,none,985,2,2,1,1,1,1
53,1457,0.3,102,1013,1287,1440,17,8,12,No,4,triple,medium,Dual,1.0,10.0,16156,LCD,n,882,3,2,2,1,0,0
54,1073,0.5,145,690,804,2908,6,0,18,Yes,2,hepta,low,Dual,0.0,0.0,51524,Touch,none,728,7,1,1,1,1,1
55,1936,0.6,104,667,1036,2552,14,7,13,No,4,triple,medium,Dual,10.0,20.0,46075,LCD,none,885,3,2,1,1,0,0
56,823,0.5,148,822,1449,905,14,11,17,Yes,3,octa,high,Dual,13.0,19.0,60630,Touch,b,678,8,3,4,1,1,1
57,987,0.4,107,581,820,3963,9,4,20,No,4,triple,medium,Dual,0.0,9.0,61155,LCD,g,1148,3,2,3,1,0,0
58,1757,0.5,180,265,713,2056,7,5,4,No,2,hexa,low,Single,8.0,14.0,49398,LCD,none,727,6,1,1,2,0,0
59,1063,1.0,128,127,683,2910,15,13,9,No,4,penta,medium,Dual,2.0,4.0,48485,Touch,n,1061,5,2,2,1,0,1
60,1484,0.6,134,916,969,1457,14,4,20,No,3,triple,high,Single,3.0,5.0,12719,Touch,none,564,3,3,1,2,0,1
61,799,0.8,144,361,975,431,15,6,6,Yes,4,octa,high,Single,1.0,6.0,63299,Touch,a,667,8,3,5,2,1,1
62,1156,0.8,159,322,547,470,7,0,15,Yes,4,dual,medium,Dual,0.0,0.0,50613,Touch,none,626,2,2,1,1,1,1
63,1720,0.5,168,753,1353,2148,14,2,5,No,4,dual,medium,Single,15.0,18.0,55512,Touch,n,913,2,2,2,2,0,1
64,702,0.7,141,504,1570,2955,10,4,19,No,4,triple,high,Dual,2.0,3.0,9533,LCD,none,919,3,3,1,1,0,0
65,616,0.8,81,651,1618,3366,18,8,13,No,4,triple,medium,Dual,13.0,17.0,44398,Touch,none,1072,3,2,1,1,0,1
66,1358,0.3,155,1565,1858,3068,9,4,4,Yes,4,quad,low,Single,11.0,14.0,36411,Touch,none,1260,4,1,1,2,1,1
67,1866,0.5,182,108,1781,3834,16,11,8,No,2,triple,medium,Single,0.0,0.0,30842,LCD,none,1404,3,2,1,2,0,0
68,1242,0.6,165,459,1225,1050,11,1,4,No,3,dual,medium,Dual,0.0,1.0,10215,LCD,b,519,2,2,4,1,0,0
69,1166,0.8,80,205,603,3993,7,1,7,No,4,quad,medium,Dual,0.0,1.0,43314,Touch,none,992,4,2,1,1,0,1
70,1448,0.8,138,570,1724,3378,13,11,2,Yes,4,hepta,low,Dual,6.0,11.0,45828,Touch,a,852,7,1,5,1,1,1
71,1407,0.7,104,1172,1217,2192,9,7,13,Yes,4,quad,high,Single,1.0,4.0,22296,LCD,b,816,4,3,4,2,1,0
72,605,0.1,142,160,1026,392,15,6,4,No,4,triple,medium,Single,8.0,16.0,9616,LCD,none,610,3,2,1,2,0,0
73,1038,0.7,141,4,638,3709,11,0,12,No,3,single,medium,Single,3.0,5.0,43261,Touch,a,909,1,2,5,2,0,1
74,797,0.5,90,763,1413,590,9,2,6,Yes,2,quad,high,Dual,4.0,6.0,38611,Touch,none,488,4,3,1,1,1,1
75,819,0.9,188,339,1242,1814,5,4,13,No,4,hexa,low,Dual,8.0,20.0,42918,LCD,g,854,6,1,3,1,0,0
76,1114,0.4,197,1040,1071,907,10,7,17,No,4,triple,high,Single,4.0,15.0,9354,Touch,none,732,3,3,1,2,0,1
77,1234,0.6,172,166,778,1449,11,7,6,Yes,2,single,medium,Dual,1.0,3.0,33423,LCD,a,504,1,2,5,1,1,0
78,1199,0.2,116,1168,1552,3448,17,13,10,Yes,4,quad,high,Dual,15.0,20.0,16474,LCD,a,1140,4,3,5,1,1,0
79,1103,0.7,111,990,1486,1837,8,7,16,No,2,hexa,medium,Dual,6.0,8.0,29336,Touch,b,738,6,2,4,1,0,1
80,1589,0.9,85,319,1206,3464,19,10,6,Yes,4,hepta,low,Dual,0.0,7.0,58644,Touch,a,1475,7,1,5,1,1,1
81,999,0.2,199,1397,1616,2593,14,11,16,No,4,quad,high,Dual,11.0,19.0,64504,Touch,none,893,4,3,1,1,0,1
82,1510,0.9,180,708,1752,3484,9,6,11,Yes,2,penta,low,Dual,2.0,3.0,46144,Touch,a,990,5,1,5,1,1,1
83,1008,1.0,114,1077,1122,2009,10,3,11,No,3,triple,low,Single,11.0,15.0,61334,LCD,none,747,3,1,1,2,0,0
84,1127,0.8,163,928,1049,2048,11,5,17,Yes,4,single,high,Dual,5.0,13.0,57217,Touch,g,961,1,3,3,1,1,1
85,1412,0.8,96,516,1894,837,15,9,4,Yes,2,octa,high,Single,5.0,17.0,25419,LCD,b,486,8,3,4,2,1,0
86,1496,0.5,182,96,741,854,16,0,7,Yes,2,penta,medium,Dual,4.0,5.0,42136,Touch,b,546,5,2,4,1,1,1
87,1083,0.8,178,1025,1118,3210,13,3,4,Yes,4,triple,high,Dual,1.0,11.0,64579,LCD,none,1233,3,3,1,1,1,0
88,668,0.1,155,666,1203,2746,9,5,8,No,3,penta,low,Dual,0.0,13.0,3544,Touch,b,625,5,1,4,1,0,1
89,1309,0.5,100,557,1402,2334,10,1,11,No,3,quad,medium,Dual,0.0,14.0,33870,LCD,g,701,4,2,3,1,0,0
90,1724,0.5,177,1605,1924,2822,19,3,16,No,4,triple,medium,Dual,2.0,5.0,57363,Touch,none,1187,3,2,1,1,0,1
91,1977,1.0,171,1226,1242,1971,18,7,14,Yes,4,hepta,medium,Dual,7.0,18.0,54463,Touch,none,1134,7,2,1,1,1,1
92,885,0.4,103,769,802,1410,16,10,5,No,4,hepta,high,Dual,0.0,0.0,15286,Touch,n,804,7,3,2,1,0,1
93,879,0.7,83,403,1105,349,16,10,2,Yes,4,hexa,high,Single,11.0,15.0,14808,LCD,b,734,6,3,4,2,1,0
94,1322,0.8,140,177,1990,1418,19,17,12,No,2,triple,medium,Dual,6.0,9.0,7836,Touch,none,779,3,2,1,1,0,1
95,1137,1.0,196,942,1179,3616,13,5,12,Yes,3,triple,medium,Single,18.0,19.0,7774,Touch,g,992,3,2,3,2,1,1
96,1355,0.2,132,651,891,880,19,4,8,No,4,penta,high,Single,10.0,16.0,23150,Touch,none,790,5,3,1,2,0,1
97,1665,0.2,194,1572,1684,1601,18,17,14,Yes,4,hexa,low,Single,3.0,18.0,60922,LCD,none,1178,6,1,1,2,1,0
98,657,0.7,141,476,961,1412,14,3,18,No,2,dual,high,Single,0.0,1.0,37602,Touch,none,457,2,3,1,2,0,1
99,593,0.4,156,1233,1317,1692,6,2,7,No,3,hepta,low,Single,6.0,7.0,31509,LCD,none,794,7,1,1,2,0,0
100,1883,0.3,146,836,1739,2600,16,8,20,Yes,4,hexa,low,Single,3.0,13.0,11069,LCD,none,1111,6,1,1,2,1,0
101,1732,0.8,119,824,881,1308,16,7,11,Yes,4,octa,medium,Single,4.0,9.0,12441,LCD,a,876,8,2,5,2,1,0
102,543,0.7,192,391,984,2413,17,14,15,No,3,penta,low,Single,0.0,4.0,57926,LCD,none,755,5,1,1,2,0,0
103,1939,0.6,199,320,520,1047,14,10,18,Yes,4,quad,high,Dual,0.0,10.0,55631,Touch,none,994,4,3,1,1,1,1
104,553,0.5,121,325,902,1204,11,4,8,No,4,hepta,high,Dual,1.0,3.0,8265,Touch,b,627,7,3,4,1,0,1
105,832,0.7,103,125,1504,1799,5,2,11,No,4,quad,low,Dual,2.0,3.0,39680,LCD,n,878,4,1,2,1,0,0
106,1661,1.0,172,846,1634,2676,12,6,11,No,2,penta,medium,Dual,5.0,10.0,23895,Touch,a,918,5,2,5,1,0,1
107,1657,0.1,198,1770,1796,2597,18,1,14,Yes,3,penta,high,Single,3.0,16.0,42389,LCD,none,1086,5,3,1,2,1,0
108,1135,0.3,83,293,1846,3029,19,17,9,Yes,3,single,medium,Dual,0.0,4.0,46361,Touch,g,1226,1,2,3,1,1,1
109,1775,0.1,163,1633,1869,2343,19,13,14,Yes,3,single,medium,Single,3.0,7.0,41532,Touch,b,991,1,2,4,2,1,1
110,783,1.0,106,1198,1471,2016,16,4,18,No,4,triple,medium,Dual,0.0,4.0,43611,Touch,none,949,3,2,1,1,0,1
111,617,0.5,199,768,874,2213,18,13,7,Yes,2,hepta,high,Single,0.0,20.0,32530,LCD,none,687,7,3,1,2,1,0
112,867,0.7,135,70,1974,790,13,6,3,No,4,hexa,medium,Dual,0.0,1.0,4700,Touch,none,661,6,2,1,1,0,1
113,1310,1.0,194,117,513,3182,8,4,5,Yes,3,penta,medium,Dual,13.0,14.0,7523,Touch,none,836,5,2,1,1,1,1
114,1804,0.6,153,1158,1244,3472,9,1,20,No,4,hepta,low,Single,9.0,19.0,22572,LCD,g,874,7,1,3,2,0,0
115,1900,0.2,89,1055,1661,2871,12,1,13,Yes,4,hepta,high,Single,1.0,9.0,18619,Touch,b,1297,7,3,4,2,1,1
116,909,0.3,82,635,973,3187,12,9,4,Yes,3,octa,medium,Single,0.0,0.0,53616,LCD,none,868,8,2,1,2,1,0
117,1084,0.9,107,322,771,1945,15,4,10,Yes,4,triple,high,Single,3.0,11.0,40594,Touch,none,789,3,3,1,2,1,1
118,1308,0.9,199,275,989,488,5,3,9,No,2,single,medium,Dual,8.0,12.0,46309,Touch,none,441,1,2,1,1,0,1
119,1778,0.5,102,1445,1954,1214,5,0,14,No,3,triple,low,Single,0.0,0.0,15812,LCD,none,1028,3,1,1,2,0,0
120,1701,0.3,194,550,1338,2598,12,9,6,Yes,2,octa,medium,Dual,3.0,7.0,10300,Touch,none,792,8,2,1,1,1,1
121,772,0.5,80,1242,1712,3242,18,11,4,Yes,4,quad,high,Dual,1.0,2.0,10485,Touch,none,1104,4,3,1,1,1,1
122,825,0.9,130,597,863,3534,10,4,6,Yes,2,triple,low,Dual,7.0,10.0,52878,Touch,none,769,3,1,1,1,1,1
123,1379,0.8,200,538,1376,3426,5,4,17,No,4,dual,medium,Single,5.0,7.0,36941,Touch,a,1124,2,2,5,2,0,1
124,1166,0.8,198,59,1203,2488,13,5,15,No,4,penta,medium,Single,3.0,4.0,25685,LCD,none,739,5,2,1,2,0,0
125,1659,0.6,89,819,902,3255,19,14,9,No,2,single,high,Single,5.0,20.0,16687,LCD,a,709,1,3,5,2,0,0
126,826,0.3,88,179,786,2863,9,3,18,Yes,4,quad,high,Dual,0.0,1.0,58476,LCD,a,792,4,3,5,1,1,0
127,1564,0.5,189,1259,1965,1496,6,4,7,No,4,hexa,high,Single,4.0,17.0,25260,Touch,n,783,6,3,2,2,0,1
128,1957,0.6,181,396,1732,3801,12,0,7,No,3,triple,low,Dual,11.0,16.0,31554,LCD,n,854,3,1,2,1,0,0
129,1571,0.1,100,713,1398,666,12,10,13,No,4,hexa,medium,Single,0.0,1.0,20028,Touch,none,817,6,2,1,2,0,1
130,1414,0.8,99,262,829,3799,17,7,7,No,3,hepta,medium,Dual,2.0,3.0,55032,LCD,g,1173,7,2,3,1,0,0
131,1790,0.1,184,622,792,1366,7,0,20,No,3,single,high,Dual,9.0,14.0,2274,Touch,a,700,1,3,5,1,0,1
132,645,1.0,197,327,580,2962,12,9,4,No,3,hepta,low,Single,1.0,10.0,41430,Touch,b,570,7,1,4,2,0,1
133,668,0.2,195,522,1056,2399,10,5,7,No,3,octa,high,Dual,7.0,12.0,30237,Touch,g,779,8,3,3,1,0,1
134,1652,0.7,89,313,1264,2338,12,8,20,Yes,2,quad,medium,Dual,1.0,5.0,36195,LCD,none,748,4,2,1,1,1,0
135,1213,0.5,108,226,1248,2700,12,3,9,Yes,2,penta,low,Single,0.0,0.0,16267,LCD,g,915,5,1,3,2,1,0
136,1272,0.9,133,605,669,2235,19,4,4,Yes,3,hexa,high,Dual,0.0,8.0,22352,LCD,none,839,6,3,1,1,1,0
137,866,0.5,179,692,1686,3825,12,11,2,No,4,octa,low,Dual,5.0,7.0,46396,Touch,n,934,8,1,2,1,0,1
138,536,0.3,182,1386,1539,284,12,9,4,No,4,hepta,high,Dual,12.0,14.0,3561,Touch,none,676,7,3,1,1,0,1
139,523,0.1,155,304,1042,1427,9,1,9,No,2,octa,high,Dual,1.0,2.0,14343,Touch,none,572,8,3,1,1,0,1
140,1753,0.1,134,1590,1926,1324,17,0,17,No,4,single,low,Dual,0.0,18.0,31913,LCD,g,1129,1,1,3,1,0,0
141,1218,0.5,147,229,616,398,17,0,5,No,4,triple,medium,Dual,1.0,4.0,14676,LCD,none,639,3,2,1,1,0,0
142,1537,0.3,137,839,1131,3685,18,17,17,Yes,4,single,high,Single,4.0,5.0,43332,Touch,n,1116,1,3,2,2,1,1
143,786,0.5,141,507,1697,2390,12,11,5,No,3,hepta,medium,Dual,0.0,6.0,33661,LCD,a,779,7,2,5,1,0,0
144,1678,0.9,134,436,536,278,19,0,10,No,4,triple,medium,Single,3.0,11.0,64493,Touch,none,815,3,2,1,2,0,1
145,1814,0.4,141,756,786,3556,18,12,16,No,4,dual,medium,Dual,1.0,2.0,9509,LCD,none,1164,2,2,1,1,0,0
146,1101,0.2,148,387,1269,2196,12,6,19,No,2,dual,medium,Single,0.0,7.0,31494,Touch,b,588,2,2,4,2,0,1
147,1461,0.5,141,1265,1298,3799,16,1,4,No,4,hepta,high,Dual,3.0,4.0,40417,LCD,none,1202,7,3,1,1,0,0
148,1216,0.4,199,1852,1967,2268,13,5,4,No,2,triple,high,Single,4.0,7.0,47369,Touch,n,739,3,3,2,2,0,1
149,506,0.8,159,875,1025,2965,13,10,15,No,4,single,medium,Single,6.0,7.0,41520,LCD,none,848,1,2,1,2,0,0
150,843,0.1,147,140,800,2341,10,1,20,Yes,4,penta,low,Single,1.0,17.0,56073,Touch,b,593,5,1,4,2,1,1
151,742,0.2,190,577,1359,3557,16,11,12,No,2,hepta,medium,Dual,4.0,14.0,56362,Touch,b,662,7,2,4,1,0,1
152,1692,0.9,176,975,1996,1354,16,7,19,Yes,4,hexa,medium,Single,3.0,12.0,61262,LCD,none,1148,6,2,1,2,1,0
153,1485,0.7,84,510,1013,2147,19,1,11,No,4,dual,medium,Single,2.0,9.0,32499,Touch,none,1161,2,2,1,2,0,1
154,1547,0.7,166,583,590,505,12,2,3,No,2,dual,high,Dual,6.0,8.0,45412,Touch,a,442,2,3,5,1,0,1
155,1692,0.9,139,674,1925,1394,16,10,6,No,4,single,high,Dual,4.0,6.0,46889,Touch,none,1186,1,3,1,1,0,1
156,637,0.8,97,1125,1989,374,18,4,8,No,4,quad,high,Single,3.0,4.0,60202,LCD,g,721,4,3,3,2,0,0
157,1224,0.4,109,747,826,506,10,0,11,No,4,hexa,low,Single,16.0,18.0,6467,Touch,n,709,6,1,2,2,0,1
158,1356,0.5,198,1612,1983,3702,17,0,19,No,2,hexa,high,Single,0.0,0.0,29642,LCD,none,1084,6,3,1,2,0,0
159,1840,0.7,142,311,1545,1078,8,0,10,No,2,single,low,Dual,12.0,16.0,34536,LCD,none,846,1,1,1,1,0,0
160,1481,0.6,96,116,1533,2945,10,5,16,Yes,4,penta,low,Dual,4.0,13.0,37419,Touch,b,948,5,1,4,1,1,1
161,961,0.3,152,554,621,2981,15,6,7,Yes,3,hexa,medium,Dual,10.0,16.0,51494,Touch,b,639,6,2,4,1,1,1
162,1296,0.5,124,811,1272,490,7,1,4,No,4,penta,low,Dual,0.0,3.0,14443,Touch,g,782,5,1,3,1,0,1
163,1193,0.5,166,730,1729,536,17,14,4,No,3,single,low,Single,11.0,20.0,26548,LCD,b,613,1,1,4,2,0,0
164,1441,0.1,118,577,1071,2317,16,4,7,No,4,octa,medium,Dual,11.0,17.0,3311,LCD,g,843,8,2,3,1,0,0
165,517,0.8,183,660,974,3704,17,16,11,No,4,quad,medium,Dual,3.0,8.0,33332,LCD,n,870,4,2,2,1,0,0
166,748,0.9,150,450,1554,2126,18,9,7,Yes,4,octa,medium,Single,0.0,4.0,27403,LCD,none,888,8,2,1,2,1,0
167,1126,0.4,160,1223,1611,2050,7,6,12,Yes,4,hexa,high,Single,2.0,3.0,10458,Touch,g,1054,6,3,3,2,1,1
168,1572,0.2,157,1109,1937,2462,12,8,10,No,4,hepta,low,Single,0.0,8.0,58869,LCD,none,956,7,1,1,2,0,0
169,1569,0.3,110,45,1942,1260,9,2,17,No,3,quad,high,Dual,17.0,20.0,44554,LCD,none,736,4,3,1,1,0,0
170,1270,0.5,101,299,845,3770,5,3,13,Yes,4,hepta,low,Dual,2.0,6.0,32479,Touch,none,1315,7,1,1,1,1,1
171,1854,0.1,101,506,627,1886,17,4,20,No,4,penta,high,Single,2.0,5.0,8937,Touch,none,1100,5,3,1,2,0,1
172,625,0.2,183,635,842,3323,9,1,7,Yes,4,quad,medium,Dual,5.0,8.0,10372,Touch,n,894,4,2,2,1,1,1
173,1577,0.3,197,1045,1737,2060,19,6,12,No,4,penta,low,Dual,0.0,4.0,42519,LCD,none,904,5,1,1,1,0,0
174,534,1.0,189,393,1199,3926,16,12,20,No,4,penta,low,Dual,0.0,1.0,16668,LCD,none,1167,5,1,1,1,0,0
175,946,0.8,143,650,1740,2177,7,5,13,No,4,hexa,medium,Dual,8.0,15.0,25461,Touch,b,817,6,2,4,1,0,1
176,685,0.8,93,433,648,728,14,8,4,No,2,hepta,low,Single,2.0,10.0,29354,LCD,b,450,7,1,4,2,0,0
177,1949,0.1,101,839,1136,2478,14,8,20,No,3,penta,medium,Dual,0.0,1.0,23813,LCD,none,922,5,2,1,1,0,0
178,947,0.1,197,1176,1220,2842,16,12,2,No,4,dual,low,Dual,0.0,13.0,23009,LCD,none,753,2,1,1,1,0,0
179,801,0.4,165,650,879,1617,17,4,19,Yes,2,hepta,medium,Dual,2.0,4.0,63452,LCD,a,600,7,2,5,1,1,0
180,703,0.3,113,218,1065,1472,14,7,7,Yes,4,single,high,Single,12.0,20.0,30581,LCD,none,590,1,3,1,2,1,0
181,1165,0.2,178,564,831,764,19,12,15,Yes,3,hexa,high,Single,11.0,12.0,41549,LCD,none,548,6,3,1,2,1,0
182,1082,0.1,198,986,1191,2337,6,1,17,No,2,octa,low,Single,0.0,5.0,38663,Touch,b,632,8,1,4,2,0,1
183,959,1.0,84,561,1631,3965,16,1,6,Yes,3,quad,high,Dual,15.0,19.0,20507,LCD,none,1044,4,3,1,1,1,0
184,1502,0.2,138,65,588,3693,17,14,16,Yes,3,penta,medium,Single,0.0,12.0,54547,Touch,none,1014,5,2,1,2,1,1
185,1380,0.8,92,420,500,797,13,2,15,Yes,4,triple,medium,Dual,1.0,13.0,4274,Touch,none,817,3,2,1,1,1,1
186,1266,0.1,95,1365,1698,1687,11,0,18,No,4,hexa,low,Single,0.0,9.0,5311,LCD,none,968,6,1,1,2,0,0
187,1934,0.1,103,619,1299,2940,13,9,2,Yes,4,single,high,Dual,0.0,17.0,46527,Touch,a,1234,1,3,5,1,1,1
188,1905,0.5,151,849,898,1545,9,5,10,Yes,4,single,low,Single,3.0,5.0,6455,Touch,none,932,1,1,1,2,1,1
189,1831,0.9,150,611,1381,3834,17,7,13,No,3,penta,medium,Dual,2.0,5.0,43589,Touch,g,1363,5,2,3,1,0,1
190,596,0.6,165,953,984,2505,15,4,15,No,3,single,medium,Single,8.0,18.0,46364,Touch,none,877,1,2,1,2,0,1
191,1562,0.2,190,642,1533,2243,12,10,6,Yes,4,penta,medium,Dual,1.0,15.0,7777,LCD,none,788,5,2,1,1,1,0
192,1490,0.3,150,1417,1464,3600,17,9,7,Yes,4,octa,low,Dual,4.0,8.0,64693,Touch,a,1452,8,1,5,1,1,1
193,1523,0.2,117,247,539,3971,18,12,10,Yes,4,dual,high,Single,5.0,6.0,57249,Touch,g,1153,2,3,3,2,1,1
194,640,0.1,163,710,1179,2844,7,5,18,No,3,quad,low,Single,0.0,15.0,20463,Touch,none,848,4,1,1,2,0,1
195,1526,0.2,117,718,751,2227,18,10,3,No,4,hepta,medium,Single,1.0,8.0,23665,Touch,none,1168,7,2,1,2,0,1
196,1989,0.8,94,1100,1497,1665,17,9,12,No,4,triple,high,Dual,0.0,13.0,41466,Touch,n,990,3,3,2,1,0,1
